,id,TSS_start,TSS_frecuency_YPD
229,CUT612,667764,1
230,CUT616,733539,1
231,CUT619,761123,1
232,CUT620,762187,0
233,CUT631,984630,2
234,CUT632,994080,3
235,CUT633,996643,4
236,CUT634,1012269,2
237,CUT635,1039838,0
238,CUT637,50578,6
239,CUT642,190366,1
240,CUT644,231851,2
241,CUT645,238857,2
242,CUT653,441910,1
243,CUT654,450404,1
244,CUT655,450629,0
245,CUT663,226301,4
246,CUT664,259938,1
247,CUT666,342340,2
248,CUT670,22764,1
249,CUT679,143010,2
250,CUT683,267936,1
251,CUT686,280672,1
252,CUT687,294277,1
253,CUT689,337753,2
254,CUT690,414115,1
255,CUT692,461568,2
256,CUT693,507527,0
257,CUT694,529657,2
258,CUT698,640421,1
259,CUT699,651263,3
260,CUT701,24901,0
261,CUT704,96324,1
262,CUT705,158274,3
263,CUT707,230965,1
264,CUT710,275065,1
265,CUT711,286360,1
266,CUT715,325947,1
267,CUT716,326218,2
268,CUT720,387222,1
269,CUT721,493659,5
270,CUT723,554655,2
271,CUT727,571235,2
272,CUT728,583349,1
273,CUT729,614636,1
274,CUT733,265272,1
275,CUT739,505816,2
276,CUT742,658129,3
277,CUT745,672838,2
278,CUT746,787356,2
279,CUT751,833668,2
280,CUT754,963531,5
281,CUT756,1043576,1
282,CUT757,9200,0
283,CUT761,110850,2
284,CUT763,284617,1
285,CUT764,287164,3
286,CUT767,352991,2
287,CUT768,355076,1
288,CUT770,399672,1
289,CUT771,406160,1
290,CUT772,431462,2
291,CUT773,433398,1
292,CUT776,545713,1
293,CUT777,560690,1
294,CUT779,577464,1
295,CUT781,646863,0
296,CUT783,656017,1
297,CUT784,658820,1
298,CUT790,773976,3
299,CUT793,915066,3
300,CUT795,31767,1
301,CUT808,359230,2
302,CUT811,408052,2
303,CUT815,485312,0
304,CUT816,525837,4
305,CUT817,529538,1
306,CUT818,663665,1
307,CUT820,736478,1
308,CUT822,99491,1
309,CUT824,106298,2
310,CUT827,167868,2
311,CUT833,333372,3
312,CUT837,386555,0
313,CUT839,407646,2
314,CUT843,520420,1
315,CUT848,574797,1
316,CUT850,632869,0
317,CUT862,784623,2
318,CUT866,876945,5
319,CUT868,944401,6
320,CUT869,953934,2
321,CUT871,960638,0
322,CUT873,1004163,1
323,CUT877,35011,2
324,CUT879,105867,0
325,CUT881,118034,1
326,CUT883,132436,1
327,CUT884,135499,3
328,CUT888,191199,1
329,CUT890,204958,4
330,CUT893,348937,1
331,CUT895,373381,0
332,CUT899,445034,0
333,CUT900,480324,1
334,CUT903,497687,2
335,CUT905,623277,1
336,CUT910,700023,2
337,CUT912,753040,1
338,CUT913,759512,2
339,CUT914,767467,2
340,CUT918,834316,1
341,CUT922,900563,5
342,CUT923,901548,8
343,CUT925,933766,2
344,SUT002,43438,15
345,SUT004,198736,6
346,SUT005,46778,2
347,SUT006,164459,1
348,SUT007,196337,3
349,SUT008,238484,4
350,SUT010,251570,1
351,SUT013,276762,2
352,SUT014,362841,17
353,SUT015,370536,23
354,SUT016,371460,1
355,SUT017,453585,6
356,SUT018,474602,2
357,SUT019,532509,4
358,SUT020,553481,2
359,SUT021,697842,6
360,SUT023,785443,4
361,SUT024,799246,0
362,SUT025,39679,1
363,SUT031,125230,14
364,SUT033,173699,1
365,SUT034,202754,2
366,SUT036,206820,3
367,SUT037,223505,0
368,SUT038,242694,4
369,SUT039,273112,0
370,SUT040,298690,5
371,SUT041,59124,3
372,SUT042,80698,2
373,SUT043,312873,5
374,SUT044,315169,1
375,SUT045,320198,0
376,SUT046,323746,2
377,SUT049,407615,3
378,SUT052,501491,2
379,SUT053,506562,3
380,SUT054,542217,1
381,SUT055,544075,1
382,SUT056,556733,3
383,SUT057,614250,0
384,SUT059,718816,1
385,SUT061,831765,11
386,SUT062,957948,1
387,SUT063,968044,11
388,SUT064,977095,0
389,SUT065,1014335,3
390,SUT066,1080797,2
391,SUT068,1157566,0
392,SUT070,1166700,17
393,SUT071,1174516,4
394,SUT072,1196737,2
395,SUT073,1267017,2
396,SUT074,1295781,1
397,SUT075,1406088,3
398,SUT076,1410291,3
399,SUT078,1456122,4
400,SUT079,1459758,3
401,SUT080,1466221,0
402,SUT081,1483726,2
403,SUT083,1500714,1
404,SUT085,1521138,1
405,SUT086,7755,1
406,SUT087,11509,1
407,SUT089,173503,14
408,SUT091,268931,11
409,SUT092,270693,4
410,SUT096,377969,2
411,SUT097,490139,1
412,SUT098,504068,6
413,SUT099,554116,3
414,SUT101,54597,7
415,SUT103,89592,2
416,SUT105,110166,7
417,SUT107,256499,1
418,SUT109,27774,1
419,SUT110,63790,4
420,SUT111,74737,6
421,SUT113,308845,2
422,SUT114,320017,7
423,SUT115,324125,1
424,SUT116,362404,5
425,SUT117,388943,4
426,SUT118,422075,1
427,SUT119,433683,2
428,SUT122,559198,2
429,SUT126,660073,1
430,SUT127,729951,4
431,SUT128,731337,45
432,SUT129,738425,3
433,SUT130,751546,1
434,SUT131,778176,1
435,SUT132,784306,2
436,SUT134,849561,1
437,SUT136,865928,1
438,SUT137,902549,2
439,SUT138,937130,14
440,SUT139,968849,12
441,SUT140,969353,3
442,SUT141,974267,3
443,SUT142,994331,1
444,SUT145,1059042,4
445,SUT146,1060330,1
446,SUT148,59128,4
447,SUT149,76307,1
448,SUT151,98418,6
449,SUT152,111416,0
450,SUT154,151018,2
451,SUT155,164975,2
452,SUT156,189160,3
453,SUT157,201967,2
454,SUT159,222901,1
455,SUT162,286333,3
456,SUT163,291165,0
457,SUT164,294342,1
458,SUT165,314213,6
459,SUT166,334483,2
460,SUT167,364392,4
461,SUT168,372671,1
462,SUT169,377968,2
463,SUT171,429440,2
464,SUT173,516657,3
465,SUT174,522208,0
466,SUT175,31001,5
467,SUT176,35166,7
468,SUT177,40214,1
469,SUT179,136498,2
470,SUT181,173867,3
471,SUT182,202234,3
472,SUT183,222871,22
473,SUT186,283078,14
474,SUT187,289239,6
475,SUT188,290271,5
476,SUT191,357103,5
477,SUT193,387023,2
478,SUT195,406352,2
479,SUT197,421045,5
480,SUT198,33612,0
481,SUT199,50043,3
482,SUT200,67892,1
483,SUT201,76893,0
484,SUT203,111565,0
485,SUT204,123800,9
486,SUT205,180508,17
487,SUT206,193857,4
488,SUT207,217652,1
489,SUT208,261013,1
490,SUT209,289732,3
491,SUT210,375152,4
492,SUT211,415140,5
493,SUT213,457927,3
494,SUT214,459487,1
495,SUT216,608987,0
496,SUT218,18610,2
497,SUT219,19770,1
498,SUT220,21228,2
499,SUT221,66502,8
500,SUT222,69799,16
501,SUT226,115093,2
502,SUT228,143280,1
503,SUT229,150724,2
504,SUT231,195246,3
505,SUT232,200440,0
506,SUT235,446715,4
507,SUT236,454898,2
508,SUT237,461722,3
509,SUT238,466396,3
510,SUT239,514119,3
511,SUT240,534061,2
512,SUT241,605578,1
513,SUT242,618920,3
514,SUT245,26305,3
515,SUT246,151102,2
516,SUT247,158057,6
517,SUT248,201647,1
518,SUT249,222371,2
519,SUT250,224158,18
520,SUT252,234502,1
521,SUT253,245561,2
522,SUT254,247975,1
523,SUT255,259774,1
524,SUT256,274068,0
525,SUT260,329687,2
526,SUT263,395800,12
527,SUT264,449742,1
528,SUT265,490885,7
529,SUT266,491819,0
530,SUT267,498232,3
531,SUT268,501161,1
532,SUT270,540780,16
533,SUT272,566825,2
534,SUT273,591322,5
535,SUT275,603882,4
536,SUT276,607361,3
537,SUT278,658295,1
538,SUT279,669160,1
539,SUT280,699846,3
540,SUT281,873801,3
541,SUT282,910277,0
542,SUT284,1030156,4
543,SUT285,13511,15
544,SUT286,30147,1
545,SUT287,97670,0
546,SUT288,119524,3
547,SUT289,121603,3
548,SUT290,131961,1
549,SUT292,140418,2
550,SUT293,148807,0
551,SUT295,165529,2
552,SUT297,289953,1
553,SUT299,343691,2
554,SUT300,347210,2
555,SUT301,371290,2
556,SUT302,429948,3
557,SUT303,432160,3
558,SUT306,510608,2
559,SUT307,511717,2
560,SUT308,522182,5
561,SUT309,556807,3
562,SUT310,570556,2
563,SUT314,763375,6
564,SUT315,774101,1
565,SUT318,779396,0
566,SUT319,784514,2
567,SUT321,910946,1
568,SUT322,912510,2
569,SUT323,169177,1
570,SUT325,270227,1
571,SUT326,272019,8
572,SUT327,318676,2
573,SUT328,335283,10
574,SUT329,355884,2
575,SUT330,372466,9
576,SUT331,416603,5
577,SUT333,440785,9
578,SUT334,444757,3
579,SUT335,587290,1
580,SUT336,595505,2
581,SUT337,629263,1
582,SUT338,632805,3
583,SUT339,724489,7
584,SUT341,728417,3
585,SUT342,731273,1
586,SUT343,742331,0
587,SUT344,743811,1
588,SUT346,764280,0
589,SUT347,8629,1
590,SUT348,15667,1
591,SUT349,21913,5
592,SUT350,31536,1
593,SUT352,36095,2
594,SUT355,96646,5
595,SUT356,225614,1
596,SUT358,303409,1
597,SUT359,335861,1
598,SUT361,348706,3
599,SUT362,385349,1
600,SUT364,416188,0
601,SUT365,418214,2
602,SUT366,422400,4
603,SUT367,444108,4
604,SUT368,507030,9
605,SUT369,550447,1
606,SUT370,571067,4
607,SUT372,618853,1
608,SUT373,639511,5
609,SUT374,667871,6
610,SUT375,672616,7
611,SUT377,701859,2
612,SUT379,889974,2
613,SUT380,892089,2
614,SUT381,898640,6
615,SUT383,936560,1
616,SUT384,958359,3
617,SUT386,978387,1
618,SUT388,1003959,11
619,SUT390,52974,27
620,SUT391,71199,1
621,SUT392,75238,10
622,SUT393,79575,4
623,SUT395,95597,3
624,SUT396,195700,0
625,SUT397,243223,3
626,SUT399,289395,2
627,SUT400,296995,5
628,SUT402,345079,3
629,SUT403,352598,3
630,SUT404,363883,11
631,SUT405,368827,9
632,SUT406,379030,2
633,SUT409,453403,2
634,SUT412,492015,3
635,SUT413,511876,1
636,SUT414,544047,2
637,SUT416,583083,1
638,SUT417,586646,2
639,SUT418,589027,1
640,SUT420,607551,1
641,SUT421,620191,3
642,SUT424,813219,1
643,SUT425,828402,1
644,SUT426,860676,3
645,SUT429,927797,5
646,SUT430,928974,2
647,SUT431,937319,1
648,SUT432,6363,1
649,SUT433,29751,1
650,SUT434,32982,2
651,SUT435,34358,4
652,SUT438,127567,5
653,SUT440,169894,161
654,SUT441,170456,1
655,SUT442,236281,0
656,SUT443,248579,1
657,SUT444,256190,2
658,SUT445,304484,2
659,SUT447,541045,2
660,SUT448,591361,3
661,SUT449,602214,13
662,SUT451,786870,3
663,SUT452,792052,2
664,SUT454,800001,0
665,SUT455,114243,2
666,SUT456,117073,0
667,SUT457,176955,19
668,SUT458,227723,1
669,SUT459,309799,2
670,SUT460,135532,9
671,SUT461,233959,5
672,SUT462,371989,1
673,SUT464,434092,9
674,SUT465,444174,1
675,SUT466,471538,3
676,SUT467,489210,5
677,SUT469,545933,3
678,SUT470,575832,8
679,SUT472,600401,1
680,SUT473,621576,1
681,SUT474,909375,2
682,SUT476,916318,0
683,SUT479,980862,3
684,SUT480,1019138,3
685,SUT481,1103552,5
686,SUT482,1131269,1
687,SUT483,1174825,3
688,SUT484,1183490,3
689,SUT485,1236199,14
690,SUT487,1260168,4
691,SUT488,1261373,5
692,SUT489,1279921,6
693,SUT490,1292181,1
694,SUT491,1339233,1
695,SUT492,1342199,5
696,SUT494,1452863,4
697,SUT495,1476996,0
698,SUT496,1493938,3
699,SUT498,1509553,2
700,SUT500,9772,8
701,SUT501,11309,3
702,SUT502,15055,0
703,SUT503,15988,1
704,SUT504,135217,1
705,SUT505,151843,3
706,SUT506,156500,2
707,SUT507,162446,21
708,SUT509,188052,5
709,SUT510,193942,1
710,SUT513,242527,4
711,SUT516,402306,5
712,SUT517,510215,3
713,SUT519,527303,1
714,SUT520,541456,9
715,SUT521,549249,8
716,SUT524,77820,2
717,SUT525,97996,2
718,SUT527,131591,9
719,SUT528,159100,4
720,SUT530,213406,3
721,SUT531,263330,1
722,SUT532,17747,4
723,SUT533,32846,2
724,SUT534,34911,1
725,SUT535,94664,2
726,SUT536,97080,1
727,SUT537,110332,2
728,SUT539,166122,3
729,SUT540,197907,2
730,SUT541,213746,1
731,SUT542,272873,1
732,SUT543,324085,2
733,SUT544,355538,5
734,SUT545,359914,3
735,SUT549,523378,3
736,SUT550,544380,1
737,SUT551,579293,4
738,SUT552,591728,1
739,SUT554,677339,2
740,SUT555,678530,1
741,SUT556,702131,1
742,SUT557,715013,7
743,SUT558,715648,2
744,SUT559,742083,3
745,SUT560,757445,4
746,SUT562,777728,1
747,SUT563,781536,1
748,SUT564,801670,4
749,SUT565,832182,0
750,SUT566,879911,2
751,SUT567,905314,9
752,SUT569,944842,2
753,SUT570,959694,1
754,SUT571,1000317,1
755,SUT572,1022373,15
756,SUT573,15887,5
757,SUT574,59029,4
758,SUT575,80351,0
759,SUT576,103976,3
760,SUT578,132901,4
761,SUT579,204241,2
762,SUT581,250952,1
763,SUT582,256180,5
764,SUT583,281250,2
765,SUT584,290839,1
766,SUT585,337821,1
767,SUT586,354583,3
768,SUT587,358159,5
769,SUT588,384933,1
770,SUT590,386998,5
771,SUT591,406768,4
772,SUT592,458272,3
773,SUT593,465489,3
774,SUT595,484589,1
775,SUT596,491632,3
776,SUT597,508703,2
777,SUT598,512131,2
778,SUT599,520281,4
779,SUT601,28746,3
780,SUT602,35967,3
781,SUT606,135232,2
782,SUT608,154882,6
783,SUT609,155861,5
784,SUT610,196171,1
785,SUT611,228163,1
786,SUT612,323778,3
787,SUT613,334678,1
788,SUT614,410110,1
789,SUT616,429279,2
790,SUT618,79927,0
791,SUT621,117117,2
792,SUT622,117723,1
793,SUT624,144932,2
794,SUT625,195303,3
795,SUT627,226570,1
796,SUT628,227102,5
797,SUT629,239131,10
798,SUT630,261014,0
799,SUT631,319779,2
800,SUT632,342057,2
801,SUT633,357990,1
802,SUT634,405154,6
803,SUT637,453478,2
804,SUT639,497239,1
805,SUT640,524538,3
806,SUT642,540492,3
807,SUT643,607182,1
808,SUT644,612084,2
809,SUT645,623334,1
810,SUT646,628718,3
811,SUT648,641795,0
812,SUT650,705234,8
813,SUT651,724200,31
814,SUT652,7820,0
815,SUT653,14329,1
816,SUT655,19578,2
817,SUT658,24096,2
818,SUT661,152961,1
819,SUT662,179492,1
820,SUT663,205335,1
821,SUT664,260086,0
822,SUT665,265991,10
823,SUT670,306954,1
824,SUT671,309909,2
825,SUT672,316110,2
826,SUT674,342110,27
827,SUT675,356184,1
828,SUT676,360803,1
829,SUT677,362371,8
830,SUT678,365192,2
831,SUT679,514463,3
832,SUT681,523581,2
833,SUT683,533898,10
834,SUT684,650357,3
835,SUT685,37217,1
836,SUT686,114055,2
837,SUT687,204728,5
838,SUT689,288791,0
839,SUT690,289628,0
840,SUT692,291689,5
841,SUT693,323717,1
842,SUT694,326063,2
843,SUT695,371074,0
844,SUT696,449620,1
845,SUT697,498767,1
846,SUT698,603868,1
847,SUT699,614562,3
848,SUT700,636387,1
849,SUT701,642377,1
850,SUT702,661655,1
851,SUT703,679961,1
852,SUT706,789872,1
853,SUT707,808763,2
854,SUT708,828269,1
855,SUT709,922385,1
856,SUT710,928585,7
857,SUT711,1026683,13
858,SUT712,1030598,5
859,SUT713,1035826,3
860,SUT714,9907,3
861,SUT715,30296,3
862,SUT716,46500,2
863,SUT717,122973,19
864,SUT719,171247,1
865,SUT720,219838,2
866,SUT721,258958,6
867,SUT722,260089,1
868,SUT725,271933,2
869,SUT726,283614,4
870,SUT727,289749,1
871,SUT728,311996,2
872,SUT730,465702,1
873,SUT732,537085,4
874,SUT734,619486,2
875,SUT736,688838,4
876,SUT737,732081,17
877,SUT738,773550,1
878,SUT739,854983,1
879,SUT740,898271,3
880,SUT743,112873,4
881,SUT744,201986,1
882,SUT745,206740,4
883,SUT746,251739,4
884,SUT747,337759,2
885,SUT748,466636,4
886,SUT749,531484,1
887,SUT750,543122,0
888,SUT751,605118,0
889,SUT754,653207,2
890,SUT756,736155,1
891,SUT757,742212,17
892,SUT758,764026,0
893,SUT759,766319,1
894,SUT760,769170,2
895,SUT761,6897,12
896,SUT763,35703,4
897,SUT764,40050,2
898,SUT765,43155,1
899,SUT766,73918,7
900,SUT767,101300,3
901,SUT768,220558,8
902,SUT769,326438,27
903,SUT770,349629,5
904,SUT772,357215,39
905,SUT773,369306,1
906,SUT774,371366,2
907,SUT776,401404,6
908,SUT777,448233,2
909,SUT779,522532,3
910,SUT781,550610,0
911,SUT782,579946,1
912,SUT783,689398,1
913,SUT784,690410,4
914,SUT785,692189,3
915,SUT786,722643,4
916,SUT788,804807,4
917,SUT791,837295,0
918,SUT793,882446,1
919,SUT794,892563,0
920,SUT795,970033,9
921,SUT796,981475,7
922,SUT797,984995,0
923,SUT799,992560,0
924,SUT800,1027937,6
925,SUT802,1064364,1
926,SUT803,24703,14
927,SUT804,40799,3
928,SUT807,116246,2
929,SUT808,125803,0
930,SUT809,132773,0
931,SUT810,146628,5
932,SUT812,348302,10
933,SUT814,431585,2
934,SUT815,444212,1
935,SUT816,456577,2
936,SUT817,459774,2
937,SUT819,500195,1
938,SUT821,525450,0
939,SUT822,557318,1
940,SUT823,586511,1
941,SUT824,588195,0
942,SUT825,590047,1
943,SUT828,629156,2
944,SUT829,644950,2
945,SUT835,778208,7
946,SUT836,785032,1
947,SUT837,787671,7
948,SUT838,789612,4
949,SUT839,790747,0
950,SUT840,799027,1
951,SUT842,829529,2
952,SUT844,877969,2
953,SUT845,886122,1
954,SUT846,931111,2
955,SUT847,937266,2
956,XUT_10F-143,310423,1
957,XUT_10F-149,327354,1
958,XUT_10F-151,329777,0
959,XUT_10F-158,348278,1
960,XUT_10F-170,375147,4
961,XUT_10F-183,395905,1
962,XUT_10F-213,471826,1
963,XUT_10F-310,678858,1
964,XUT_10F-32,76842,1
965,XUT_10F-42,96619,5
966,XUT_10F-44,101105,2
967,XUT_10F-48,109797,4
968,XUT_10F-49,111588,1
969,XUT_10F-82,172812,1
970,XUT_10F-85,177818,1
971,XUT_10F-86,180536,3
972,XUT_10R-114,317444,0
973,XUT_10R-116,319770,5
974,XUT_10R-117,323137,8
975,XUT_10R-119,325214,4
976,XUT_10R-136,361033,2
977,XUT_10R-155,405121,1
978,XUT_10R-165,417269,6
979,XUT_10R-181,461598,1
980,XUT_10R-186,472452,2
981,XUT_10R-197,524515,3
982,XUT_10R-203,535562,1
983,XUT_10R-234,610404,3
984,XUT_10R-254,641467,0
985,XUT_10R-276,705244,1
986,XUT_10R-284,719254,0
987,XUT_10R-287,724200,2
988,XUT_10R-288,725347,3
989,XUT_10R-29,97742,1
990,XUT_10R-52,144929,2
991,XUT_10R-6,30713,1
992,XUT_10R-61,161143,1
993,XUT_10R-63,162839,1
994,XUT_10R-84,227074,3
995,XUT_11F-10,19015,1
996,XUT_11F-102,230291,2
997,XUT_11F-137,304342,0
998,XUT_11F-16,24328,6
999,XUT_11F-183,420309,0
1000,XUT_11F-200,446995,1
1001,XUT_11F-205,456563,1
1002,XUT_11F-209,466474,2
1003,XUT_11F-216,489887,2
1004,XUT_11F-230,534088,1
1005,XUT_11F-244,561436,1
1006,XUT_11F-252,578475,3
1007,XUT_11F-27,74016,1
1008,XUT_11F-272,618905,0
1009,XUT_11F-281,643001,3
1010,XUT_11F-292,660043,0
1011,XUT_11F-3,8105,3
1012,XUT_11F-64,151214,0
1013,XUT_11F-68,162927,0
1014,XUT_11F-77,175707,1
1015,XUT_11F-87,195216,3
1016,XUT_11F-90,200455,1
1017,XUT_11R-112,261910,2
1018,XUT_11R-125,308038,1
1019,XUT_11R-128,308676,1
1020,XUT_11R-13,24921,3
1021,XUT_11R-130,309549,1
1022,XUT_11R-134,315893,2
1023,XUT_11R-208,463508,7
1024,XUT_11R-209,465023,4
1025,XUT_11R-223,514427,5
1026,XUT_11R-260,611230,1
1027,XUT_11R-265,626494,1
1028,XUT_11R-270,638749,1
1029,XUT_11R-39,92605,0
1030,XUT_11R-48,137594,3
1031,XUT_11R-63,158310,3
1032,XUT_11R-81,205090,0
1033,XUT_11R-94,234013,0
1034,XUT_11R-97,237037,1
1035,XUT_12F-1,16188,3
1036,XUT_12F-113,281341,0
1037,XUT_12F-121,300805,0
1038,XUT_12F-142,339652,0
1039,XUT_12F-150,373360,1
1040,XUT_12F-154,390611,1
1041,XUT_12F-157,395827,2
1042,XUT_12F-16,67156,0
1043,XUT_12F-191,490883,2
1044,XUT_12F-198,514100,1
1045,XUT_12F-209,542159,1
1046,XUT_12F-221,567136,1
1047,XUT_12F-253,645310,1
1048,XUT_12F-270,674236,3
1049,XUT_12F-289,710886,1
1050,XUT_12F-347,873769,1
1051,XUT_12F-54,151168,1
1052,XUT_12F-6,25745,0
1053,XUT_12F-70,193448,1
1054,XUT_12F-77,201722,3
1055,XUT_12F-84,221083,1
1056,XUT_12F-85,223965,5
1057,XUT_12F-86,224873,6
1058,XUT_12F-94,234626,0
1059,XUT_12R-113,324905,1
1060,XUT_12R-126,366149,2
1061,XUT_12R-141,415609,3
1062,XUT_12R-144,418061,1
1063,XUT_12R-149,423896,11
1064,XUT_12R-162,449609,1
1065,XUT_12R-171,498819,1
1066,XUT_12R-197,568485,1
1067,XUT_12R-207,603978,5
1068,XUT_12R-235,650818,4
1069,XUT_12R-237,657805,5
1070,XUT_12R-239,661264,2
1071,XUT_12R-244,665565,1
1072,XUT_12R-250,682633,4
1073,XUT_12R-265,724379,1
1074,XUT_12R-267,728634,1
1075,XUT_12R-27,85939,0
1076,XUT_12R-287,787392,0
1077,XUT_12R-3,19523,0
1078,XUT_12R-304,832161,1
1079,XUT_12R-306,833644,1
1080,XUT_12R-313,855456,2
1081,XUT_12R-33,95141,1
1082,XUT_12R-337,929561,1
1083,XUT_12R-341,933716,1
1084,XUT_12R-346,940857,0
1085,XUT_12R-370,982572,0
1086,XUT_12R-387,1035817,2
1087,XUT_12R-50,146380,1
1088,XUT_12R-85,231136,1
1089,XUT_12R-96,264648,2
1090,XUT_13F-106,242040,1
1091,XUT_13F-112,258334,1
1092,XUT_13F-116,262833,2
1093,XUT_13F-137,302820,2
1094,XUT_13F-151,320481,3
1095,XUT_13F-160,343734,2
1096,XUT_13F-161,347210,1
1097,XUT_13F-191,422361,1
1098,XUT_13F-195,429984,1
1099,XUT_13F-206,462803,2
