,gene,chromosome,start,stop,W/C,start_promoter,promoter_median,start_tss,max_frecuency(YPD),freq_total(sum),count_samples(freq),GC_start-100,GC_tss-100,GC_start-200,GC_tss-200,GC_start-300,GC_tss-300,GC_start-400,GC_tss-400,GC_start-500,GC_tss-500,GC_start-600,GC_tss-600
YAL025C,MAK16,1,101145.0,100225.0,-1,101745.0,101445.0,101168.0,73.0,411.0,146.0,36.0,32.0,57.0,56.0,85.0,78.0,112.0,113.0,147.0,146.0,178.0,179.0
YAL026C,DRS2,1,99697.0,95630.0,-1,100297.0,99997.0,99783.0,2.0,4.0,4.0,41.0,35.0,76.0,66.0,110.0,92.0,129.0,123.0,163.0,163.0,206.0,206.0
YAL027W,SAW1,1,94687.0,95472.0,1,94087.0,94387.0,94595.0,1.0,3.0,8.0,38.0,27.0,62.0,59.0,97.0,94.0,131.0,130.0,166.0,167.0,202.0,201.0
YAL028W,FRT2,1,92900.0,94486.0,1,92300.0,92600.0,92836.0,6.0,45.0,68.0,33.0,31.0,66.0,64.0,97.0,95.0,128.0,130.0,163.0,161.0,189.0,191.0
YAL029C,MYO4,1,92270.0,87855.0,-1,92870.0,92570.0,92522.0,2.0,5.0,8.0,26.0,32.0,62.0,66.0,96.0,96.0,128.0,131.0,158.0,175.0,188.0,219.0
YAL030W,SNC1,1,87286.0,87752.0,1,86686.0,86986.0,87264.0,50.0,330.0,190.0,37.0,35.0,73.0,72.0,110.0,113.0,150.0,148.0,187.0,184.0,232.0,226.0
YAL031C,GIP4,1,87031.0,84749.0,-1,87631.0,87331.0,87078.0,2.0,19.0,24.0,32.0,37.0,71.0,73.0,115.0,121.0,157.0,154.0,189.0,187.0,231.0,233.0
YAL032C,PRP45,1,84474.0,83335.0,-1,85074.0,84774.0,84494.0,5.0,62.0,81.0,43.0,40.0,67.0,63.0,96.0,98.0,144.0,142.0,188.0,190.0,235.0,235.0
YAL033W,POP5,1,82706.0,83227.0,1,82106.0,82406.0,82701.0,80.0,559.0,212.0,30.0,31.0,74.0,75.0,111.0,114.0,154.0,158.0,204.0,205.0,247.0,250.0
YAL034C,FUN19,1,81951.0,80710.0,-1,82551.0,82251.0,82586.0,24.0,497.0,357.0,42.0,32.0,90.0,67.0,130.0,117.0,183.0,161.0,225.0,207.0,267.0,239.0
YAL034W-A,MTW1,1,79718.0,80587.0,1,79118.0,79418.0,79705.0,3.0,22.0,40.0,32.0,33.0,64.0,62.0,96.0,99.0,138.0,137.0,190.0,190.0,228.0,229.0
YAL035W,FUN12,1,76427.0,79435.0,1,75827.0,76127.0,76401.0,627.0,1431.0,167.0,41.0,39.0,79.0,83.0,120.0,123.0,166.0,173.0,224.0,226.0,274.0,275.0
YAL036C,RBG1,1,76152.0,75043.0,-1,76752.0,76452.0,76184.0,82.0,513.0,232.0,43.0,39.0,82.0,81.0,122.0,122.0,174.0,176.0,220.0,219.0,257.0,262.0
YAL038W,CDC19,1,71786.0,73288.0,1,71186.0,71486.0,71759.0,6306.0,31932.0,1189.0,25.0,26.0,55.0,57.0,91.0,95.0,125.0,128.0,164.0,174.0,215.0,222.0
YAL039C,CYC3,1,69525.0,68716.0,-1,70125.0,69825.0,69581.0,155.0,1101.0,348.0,34.0,30.0,61.0,71.0,107.0,104.0,140.0,144.0,177.0,178.0,216.0,224.0
YAL040C,CLN3,1,67520.0,65778.0,-1,68120.0,67820.0,67848.0,12.0,129.0,104.0,41.0,29.0,84.0,67.0,124.0,94.0,156.0,149.0,189.0,194.0,226.0,247.0
YAL041W,CDC24,1,62840.0,65404.0,1,62240.0,62540.0,62776.0,6.0,45.0,45.0,45.0,46.0,84.0,73.0,121.0,123.0,169.0,167.0,214.0,222.0,266.0,270.0
YAL042W,ERV46,1,61316.0,62563.0,1,60716.0,61016.0,61300.0,131.0,735.0,162.0,39.0,40.0,76.0,76.0,118.0,121.0,169.0,171.0,212.0,214.0,262.0,262.0
YAL043C,PTA1,1,61052.0,58695.0,-1,61652.0,61352.0,61083.0,35.0,464.0,176.0,38.0,35.0,76.0,78.0,122.0,127.0,179.0,179.0,227.0,228.0,275.0,280.0
YAL044C,GCV3,1,58462.0,57950.0,-1,59062.0,58762.0,58476.0,616.0,3137.0,284.0,41.0,43.0,83.0,81.0,122.0,126.0,173.0,175.0,219.0,220.0,261.0,263.0
YAL046C,AIM1,1,57385.0,57029.0,-1,57985.0,57685.0,57415.0,45.0,290.0,168.0,32.0,36.0,81.0,84.0,127.0,130.0,175.0,177.0,213.0,211.0,244.0,250.0
YAL047C,SPC72,1,56857.0,54989.0,-1,57457.0,57157.0,56886.0,73.0,208.0,70.0,24.0,24.0,65.0,68.0,111.0,111.0,156.0,161.0,207.0,211.0,244.0,244.0
YAL048C,GEM1,1,54789.0,52801.0,-1,55389.0,55089.0,54790.0,1.0,2.0,4.0,26.0,27.0,53.0,53.0,93.0,93.0,133.0,133.0,172.0,173.0,204.0,205.0
YAL049C,AIM2,1,52595.0,51855.0,-1,53195.0,52895.0,52661.0,156.0,1038.0,432.0,35.0,43.0,76.0,71.0,107.0,117.0,148.0,159.0,194.0,197.0,234.0,236.0
YAL051W,OAF1,1,48564.0,51707.0,1,47964.0,48264.0,48534.0,2.0,5.0,11.0,38.0,40.0,76.0,76.0,105.0,104.0,144.0,146.0,189.0,198.0,242.0,244.0
YAL053W,FLC2,1,45899.0,48250.0,1,45299.0,45599.0,45759.0,8.0,95.0,126.0,29.0,28.0,61.0,58.0,91.0,94.0,123.0,149.0,167.0,186.0,220.0,236.0
YAL054C,ACS1,1,45022.0,42881.0,-1,45622.0,45322.0,45073.0,0.0,0.0,4.0,32.0,33.0,75.0,80.0,116.0,126.0,170.0,176.0,214.0,209.0,242.0,243.0
YAL055W,PEX22,1,42177.0,42719.0,1,41577.0,41877.0,42170.0,7.0,51.0,61.0,22.0,22.0,55.0,54.0,83.0,82.0,113.0,114.0,151.0,152.0,193.0,195.0
YAL056W,GPB2,1,39259.0,41901.0,1,38659.0,38959.0,39208.0,7.0,102.0,94.0,40.0,35.0,67.0,64.0,98.0,106.0,144.0,144.0,190.0,191.0,228.0,234.0
YAL058W,CNE1,1,37464.0,38972.0,1,36864.0,37164.0,37415.0,40.0,242.0,178.0,38.0,30.0,58.0,50.0,88.0,87.0,126.0,128.0,169.0,170.0,212.0,213.0
YAL059W,ECM1,1,36509.0,37147.0,1,35909.0,36209.0,36507.0,4.0,12.0,9.0,28.0,29.0,59.0,59.0,100.0,101.0,145.0,146.0,193.0,195.0,232.0,234.0
YAL060W,BDH1,1,35155.0,36303.0,1,34555.0,34855.0,35107.0,31.0,113.0,150.0,28.0,43.0,65.0,82.0,114.0,130.0,152.0,166.0,194.0,206.0,236.0,252.0
YAL061W,BDH2,1,33448.0,34701.0,1,32848.0,33148.0,33359.0,3.0,26.0,88.0,25.0,38.0,61.0,81.0,107.0,127.0,156.0,163.0,187.0,214.0,240.0,257.0
YAL062W,GDH3,1,31567.0,32940.0,1,30967.0,31267.0,31529.0,4.0,32.0,55.0,34.0,37.0,65.0,66.0,95.0,102.0,131.0,130.0,164.0,161.0,192.0,190.0
YAL064C-A,TDA8,1,13743.0,13363.0,-1,14343.0,14043.0,14690.0,1.0,1.0,1.0,37.0,40.0,78.0,75.0,117.0,110.0,163.0,150.0,198.0,186.0,238.0,216.0
YAL067C,SEO1,1,9016.0,7235.0,-1,9616.0,9316.0,9227.0,1.0,1.0,11.0,27.0,25.0,64.0,70.0,89.0,106.0,134.0,141.0,172.0,177.0,207.0,210.0
YAR002C-A,ERP1,1,154724.0,154065.0,-1,155324.0,155024.0,154740.0,179.0,1287.0,413.0,32.0,31.0,58.0,58.0,99.0,101.0,145.0,150.0,192.0,194.0,235.0,234.0
YAR002W,NUP60,1,152257.0,153876.0,1,151657.0,151957.0,152215.0,57.0,236.0,140.0,31.0,24.0,52.0,45.0,76.0,75.0,111.0,111.0,144.0,138.0,181.0,174.0
YAR003W,SWD1,1,155005.0,156285.0,1,154405.0,154705.0,154920.0,29.0,280.0,202.0,39.0,24.0,66.0,58.0,98.0,96.0,139.0,136.0,177.0,175.0,217.0,219.0
YAR007C,RFA1,1,158619.0,156754.0,-1,159219.0,158919.0,158682.0,68.0,413.0,123.0,34.0,34.0,71.0,71.0,113.0,113.0,151.0,152.0,194.0,193.0,232.0,230.0
YAR008W,SEN34,1,158966.0,159793.0,1,158366.0,158666.0,158864.0,11.0,115.0,111.0,40.0,36.0,77.0,68.0,109.0,111.0,151.0,152.0,193.0,194.0,235.0,235.0
YAR014C,BUD14,1,168871.0,166742.0,-1,169471.0,169171.0,169021.0,12.0,68.0,59.0,41.0,39.0,85.0,80.0,127.0,109.0,153.0,145.0,187.0,187.0,230.0,233.0
YAR015W,ADE1,1,169375.0,170295.0,1,168775.0,169075.0,169286.0,260.0,2835.0,574.0,31.0,29.0,58.0,71.0,100.0,114.0,145.0,154.0,185.0,197.0,230.0,246.0
YAR018C,KIN3,1,171703.0,170396.0,-1,172303.0,172003.0,171711.0,8.0,127.0,162.0,28.0,27.0,58.0,60.0,92.0,89.0,115.0,113.0,144.0,143.0,183.0,182.0
YAR019C,CDC15,1,175135.0,172211.0,-1,175735.0,175435.0,175170.0,1.0,6.0,12.0,45.0,43.0,87.0,85.0,129.0,130.0,172.0,169.0,208.0,204.0,246.0,241.0
YAR027W,UIP3,1,183770.0,184477.0,1,183170.0,183470.0,183671.0,18.0,129.0,84.0,32.0,31.0,63.0,70.0,103.0,106.0,138.0,137.0,169.0,169.0,202.0,203.0
YAR031W,PRM9,1,186836.0,187732.0,1,186236.0,186536.0,186785.0,0.0,0.0,1.0,35.0,33.0,71.0,69.0,106.0,105.0,149.0,149.0,186.0,182.0,224.0,226.0
YAR033W,MST28,1,188107.0,188811.0,1,187507.0,187807.0,188061.0,26.0,302.0,125.0,38.0,38.0,74.0,81.0,113.0,117.0,158.0,159.0,200.0,209.0,247.0,247.0
YAR035W,YAT1,1,190193.0,192256.0,1,189593.0,189893.0,190149.0,2.0,3.0,7.0,47.0,51.0,112.0,104.0,153.0,151.0,199.0,194.0,235.0,228.0,265.0,252.0
YAR042W,SWH1,1,192619.0,196185.0,1,192019.0,192319.0,192575.0,3.0,19.0,26.0,31.0,24.0,70.0,71.0,110.0,104.0,150.0,152.0,204.0,211.0,260.0,273.0
YBL001C,ECM15,2,237467.0,237153.0,-1,238067.0,237767.0,237478.0,1230.0,4600.0,970.0,34.0,37.0,69.0,70.0,106.0,107.0,131.0,131.0,162.0,162.0,198.0,198.0
YBL002W,HTB2,2,236492.0,236887.0,1,235892.0,236192.0,236469.0,6281.0,23159.0,1598.0,23.0,23.0,50.0,53.0,94.0,95.0,140.0,144.0,182.0,181.0,212.0,211.0
YBL003C,HTA2,2,235792.0,235394.0,-1,236392.0,236092.0,235819.0,1101.0,6949.0,995.0,22.0,26.0,52.0,53.0,94.0,97.0,140.0,149.0,184.0,187.0,211.0,208.0
YBL005W,PDR3,2,217470.0,220400.0,1,216870.0,217170.0,217408.0,5.0,8.0,11.0,43.0,34.0,73.0,85.0,124.0,127.0,170.0,176.0,220.0,227.0,272.0,283.0
YBL006C,LDB7,2,217129.0,216587.0,-1,217729.0,217429.0,217137.0,136.0,1591.0,387.0,41.0,43.0,92.0,90.0,130.0,130.0,163.0,161.0,199.0,200.0,251.0,249.0
YBL007C,SLA1,2,216366.0,212632.0,-1,216966.0,216666.0,216418.0,43.0,526.0,177.0,36.0,36.0,76.0,75.0,116.0,118.0,163.0,166.0,215.0,224.0,267.0,272.0
YBL008W,HIR1,2,209653.0,212175.0,1,209053.0,209353.0,209598.0,8.0,88.0,90.0,34.0,30.0,67.0,64.0,100.0,94.0,126.0,125.0,159.0,160.0,204.0,203.0
YBL009W,ALK2,2,207194.0,209224.0,1,206594.0,206894.0,207160.0,35.0,246.0,127.0,26.0,26.0,58.0,61.0,98.0,98.0,134.0,135.0,169.0,172.0,207.0,210.0
YBL011W,SCT1,2,203538.0,205817.0,1,202938.0,203238.0,203437.0,77.0,335.0,181.0,37.0,43.0,80.0,84.0,121.0,143.0,179.0,185.0,222.0,229.0,266.0,280.0
YBL013W,FMT1,2,202056.0,203261.0,1,201456.0,201756.0,201990.0,1.0,3.0,3.0,39.0,37.0,77.0,69.0,111.0,118.0,161.0,163.0,204.0,204.0,244.0,247.0
YBL014C,RRN6,2,201748.0,199064.0,-1,202348.0,202048.0,201777.0,11.0,80.0,82.0,40.0,35.0,74.0,71.0,115.0,107.0,154.0,152.0,193.0,193.0,242.0,239.0
YBL015W,ACH1,2,194122.0,195702.0,1,193522.0,193822.0,194027.0,15.0,237.0,361.0,34.0,44.0,81.0,96.0,133.0,159.0,193.0,208.0,242.0,244.0,278.0,282.0
YBL016W,FUS3,2,192451.0,193512.0,1,191851.0,192151.0,192451.0,1.0,3.0,12.0,28.0,28.0,62.0,62.0,92.0,92.0,131.0,131.0,169.0,169.0,214.0,214.0
YBL017C,PEP1,2,191583.0,186844.0,-1,192183.0,191883.0,191763.0,1.0,3.0,5.0,37.0,42.0,73.0,84.0,116.0,125.0,155.0,161.0,198.0,192.0,233.0,223.0
YBL018C,POP8,2,186474.0,185998.0,-1,187074.0,186774.0,186515.0,56.0,687.0,307.0,33.0,33.0,73.0,74.0,111.0,110.0,145.0,149.0,188.0,188.0,232.0,234.0
YBL019W,APN2,2,184353.0,185915.0,1,183753.0,184053.0,184353.0,5.0,32.0,43.0,37.0,37.0,60.0,60.0,95.0,95.0,128.0,128.0,158.0,158.0,191.0,191.0
YBL020W,RFT1,2,182401.0,184125.0,1,181801.0,182101.0,182319.0,11.0,63.0,78.0,42.0,45.0,85.0,86.0,126.0,136.0,177.0,187.0,225.0,237.0,275.0,278.0
YBL021C,HAP3,2,182094.0,181660.0,-1,182694.0,182394.0,182118.0,52.0,288.0,218.0,41.0,41.0,85.0,87.0,128.0,124.0,172.0,171.0,212.0,209.0,257.0,253.0
YBL022C,PIM1,2,181275.0,177874.0,-1,181875.0,181575.0,181402.0,8.0,39.0,37.0,35.0,44.0,80.0,77.0,108.0,123.0,159.0,167.0,202.0,217.0,249.0,264.0
YBL023C,MCM2,2,177526.0,174920.0,-1,178126.0,177826.0,177579.0,23.0,125.0,102.0,31.0,30.0,60.0,66.0,92.0,87.0,122.0,117.0,156.0,156.0,197.0,203.0
YBL024W,NCL1,2,172534.0,174588.0,1,171934.0,172234.0,172511.0,41.0,290.0,196.0,30.0,31.0,63.0,62.0,92.0,91.0,138.0,139.0,178.0,179.0,223.0,223.0
YBL025W,RRN10,2,171481.0,171918.0,1,170881.0,171181.0,171423.0,6.0,54.0,63.0,28.0,31.0,63.0,66.0,101.0,104.0,132.0,131.0,168.0,168.0,202.0,202.0
YBL026W,LSM2,2,170623.0,171038.0,1,170023.0,170323.0,170552.0,14.0,186.0,168.0,32.0,31.0,66.0,72.0,105.0,101.0,136.0,133.0,166.0,168.0,204.0,203.0
YBL027W,RPL19B,2,168423.0,169376.0,1,167823.0,168123.0,168392.0,3713.0,18519.0,667.0,31.0,38.0,83.0,93.0,136.0,140.0,171.0,176.0,207.0,209.0,236.0,242.0
YBL030C,PET9,2,163997.0,163041.0,-1,164597.0,164297.0,164118.0,99.0,1191.0,1053.0,30.0,31.0,59.0,91.0,118.0,129.0,162.0,158.0,188.0,200.0,225.0,240.0
YBL031W,SHE1,2,161699.0,162715.0,1,161099.0,161399.0,161669.0,13.0,61.0,54.0,28.0,37.0,68.0,61.0,84.0,82.0,125.0,127.0,170.0,169.0,201.0,201.0
YBL032W,HEK2,2,160184.0,161329.0,1,159584.0,159884.0,160092.0,79.0,282.0,132.0,44.0,43.0,86.0,78.0,123.0,119.0,167.0,158.0,203.0,208.0,253.0,252.0
YBL033C,RIB1,2,159693.0,158656.0,-1,160293.0,159993.0,159721.0,11.0,58.0,79.0,40.0,49.0,80.0,80.0,115.0,122.0,158.0,166.0,204.0,208.0,267.0,273.0
YBL035C,POL12,2,153610.0,151493.0,-1,154210.0,153910.0,153691.0,41.0,213.0,126.0,27.0,22.0,58.0,62.0,93.0,105.0,137.0,139.0,173.0,180.0,209.0,209.0
YBL037W,APL3,2,147209.0,150286.0,1,146609.0,146909.0,147111.0,1.0,2.0,7.0,37.0,41.0,78.0,73.0,109.0,109.0,145.0,142.0,178.0,188.0,225.0,234.0
YBL038W,MRPL16,2,146187.0,146885.0,1,145587.0,145887.0,146124.0,134.0,898.0,273.0,38.0,33.0,73.0,67.0,94.0,87.0,125.0,121.0,162.0,163.0,199.0,203.0
YBL040C,ERD2,2,142868.0,142112.0,-1,143468.0,143168.0,142911.0,3066.0,8435.0,746.0,40.0,40.0,84.0,81.0,114.0,112.0,151.0,146.0,183.0,177.0,218.0,214.0
YBL041W,PRE7,2,141247.0,141972.0,1,140647.0,140947.0,141212.0,102.0,859.0,454.0,36.0,36.0,73.0,79.0,112.0,115.0,150.0,154.0,197.0,205.0,242.0,252.0
YBL042C,FUI1,2,140260.0,138341.0,-1,140860.0,140560.0,140316.0,447.0,1418.0,293.0,34.0,32.0,67.0,69.0,107.0,116.0,160.0,162.0,205.0,214.0,253.0,253.0
YBL043W,ECM13,2,136688.0,137461.0,1,136088.0,136388.0,136557.0,4.0,4.0,14.0,27.0,31.0,63.0,79.0,101.0,123.0,145.0,179.0,199.0,228.0,250.0,267.0
YBL045C,COR1,2,135516.0,134143.0,-1,136116.0,135816.0,135702.0,30.0,217.0,396.0,32.0,44.0,62.0,90.0,112.0,130.0,151.0,170.0,192.0,219.0,233.0,274.0
YBL046W,PSY4,2,132424.0,133749.0,1,131824.0,132124.0,132424.0,2.0,6.0,11.0,33.0,33.0,73.0,73.0,109.0,109.0,142.0,142.0,187.0,187.0,233.0,233.0
YBL047C,EDE1,2,132040.0,127895.0,-1,132640.0,132340.0,132211.0,1.0,7.0,20.0,35.0,41.0,71.0,74.0,110.0,111.0,145.0,159.0,188.0,188.0,229.0,220.0
YBL049W,MOH1,2,126828.0,127244.0,1,126228.0,126528.0,126788.0,1.0,1.0,9.0,39.0,42.0,74.0,78.0,109.0,112.0,154.0,159.0,200.0,200.0,232.0,240.0
YBL050W,SEC17,2,125125.0,126119.0,1,124525.0,124825.0,125076.0,74.0,664.0,123.0,37.0,38.0,75.0,76.0,116.0,123.0,159.0,160.0,195.0,201.0,237.0,237.0
YBL051C,PIN4,2,124759.0,122753.0,-1,125359.0,125059.0,124820.0,4.0,61.0,77.0,43.0,41.0,83.0,80.0,121.0,118.0,156.0,151.0,188.0,190.0,231.0,233.0
YBL052C,SAS3,2,121874.0,119379.0,-1,122474.0,122174.0,122106.0,2.0,23.0,44.0,35.0,34.0,68.0,65.0,102.0,93.0,136.0,121.0,164.0,145.0,190.0,170.0
YBL054W,TOD6,2,117589.0,119166.0,1,116989.0,117289.0,117474.0,14.0,358.0,278.0,40.0,31.0,71.0,71.0,110.0,116.0,155.0,163.0,201.0,215.0,252.0,261.0
YBL056W,PTC3,2,113762.0,115168.0,1,113162.0,113462.0,113720.0,119.0,2882.0,874.0,32.0,39.0,76.0,76.0,110.0,109.0,149.0,156.0,193.0,196.0,235.0,239.0
YBL057C,PTH2,2,113427.0,112801.0,-1,114027.0,113727.0,113447.0,103.0,623.0,188.0,33.0,34.0,70.0,74.0,110.0,113.0,149.0,154.0,201.0,201.0,239.0,244.0
YBL058W,SHP1,2,111437.0,112708.0,1,110837.0,111137.0,111409.0,40.0,234.0,106.0,29.0,34.0,62.0,63.0,105.0,108.0,151.0,155.0,194.0,195.0,229.0,229.0
YBL059C-A,CMC2,2,110539.0,110125.0,-1,111139.0,110839.0,110547.0,11.0,245.0,331.0,35.0,33.0,69.0,68.0,103.0,103.0,138.0,136.0,183.0,185.0,229.0,231.0
YBL060W,YEL1,2,107932.0,109995.0,1,107332.0,107632.0,107914.0,9.0,52.0,75.0,41.0,37.0,74.0,71.0,107.0,103.0,145.0,142.0,184.0,177.0,213.0,212.0
YBL061C,SKT5,2,107406.0,105316.0,-1,108006.0,107706.0,107515.0,15.0,288.0,182.0,33.0,39.0,70.0,72.0,105.0,105.0,139.0,142.0,176.0,185.0,218.0,229.0
YBL063W,KIP1,2,101886.0,105221.0,1,101286.0,101586.0,101886.0,0.0,0.0,1.0,39.0,39.0,84.0,84.0,125.0,125.0,164.0,164.0,201.0,201.0,247.0,247.0
YBL064C,PRX1,2,101156.0,100371.0,-1,101756.0,101456.0,101188.0,69.0,238.0,148.0,36.0,39.0,80.0,85.0,124.0,123.0,155.0,161.0,207.0,202.0,240.0,249.0
YBL066C,SEF1,2,100115.0,96669.0,-1,100715.0,100415.0,100148.0,1.0,2.0,14.0,36.0,33.0,70.0,64.0,96.0,96.0,143.0,144.0,186.0,189.0,227.0,224.0
YBL067C,UBP13,2,95882.0,93639.0,-1,96482.0,96182.0,96158.0,1.0,5.0,18.0,42.0,40.0,69.0,75.0,103.0,100.0,146.0,131.0,180.0,159.0,207.0,199.0
YBL068W,PRS4,2,92414.0,93394.0,1,91814.0,92114.0,92382.0,435.0,1826.0,314.0,43.0,40.0,81.0,81.0,115.0,112.0,144.0,142.0,182.0,181.0,221.0,218.0
YBL071W-A,KTI11,2,89978.0,90226.0,1,89378.0,89678.0,89943.0,78.0,798.0,216.0,34.0,37.0,72.0,66.0,105.0,118.0,166.0,171.0,203.0,205.0,239.0,237.0
YBL072C,RPS8A,2,89125.0,88523.0,-1,89725.0,89425.0,89464.0,182.0,3385.0,550.0,26.0,36.0,65.0,93.0,95.0,134.0,131.0,170.0,178.0,204.0,233.0,243.0
YBL074C,AAR2,2,87789.0,86722.0,-1,88389.0,88089.0,87808.0,2.0,10.0,15.0,39.0,43.0,84.0,85.0,119.0,121.0,152.0,147.0,180.0,176.0,212.0,213.0
YBL075C,SSA3,2,86448.0,84499.0,-1,87048.0,86748.0,86612.0,7.0,68.0,115.0,32.0,43.0,74.0,88.0,121.0,123.0,163.0,155.0,195.0,198.0,231.0,228.0
YBL076C,ILS1,2,84261.0,81043.0,-1,84861.0,84561.0,84277.0,122.0,1307.0,289.0,34.0,36.0,69.0,68.0,111.0,116.0,168.0,170.0,212.0,215.0,251.0,256.0
YBL078C,ATG8,2,80731.0,80378.0,-1,81331.0,81031.0,80775.0,8.0,62.0,127.0,29.0,37.0,68.0,76.0,100.0,101.0,131.0,139.0,167.0,176.0,209.0,218.0
YBL079W,NUP170,2,75259.0,79767.0,1,74659.0,74959.0,75206.0,1.0,3.0,4.0,41.0,32.0,69.0,67.0,105.0,102.0,136.0,128.0,165.0,163.0,205.0,209.0
YBL080C,PET112,2,74695.0,73070.0,-1,75295.0,74995.0,74711.0,18.0,115.0,100.0,37.0,34.0,62.0,60.0,97.0,95.0,134.0,129.0,162.0,165.0,205.0,208.0
YBL082C,ALG3,2,71127.0,69751.0,-1,71727.0,71427.0,71173.0,6.0,22.0,17.0,39.0,42.0,80.0,79.0,121.0,123.0,156.0,157.0,193.0,193.0,235.0,228.0
YBL085W,BOI1,2,63876.0,66818.0,1,63276.0,63576.0,63674.0,1.0,1.0,6.0,34.0,38.0,73.0,86.0,109.0,118.0,159.0,148.0,191.0,183.0,220.0,221.0
